transformation,severity,direction,parameter_name,parameter_value,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,delta_accuracy_mean,delta_accuracy_std,delta_f1_mean,delta_f1_std,delta_roc_auc_mean,delta_roc_auc_std
brightness_dark,3,darker,factor,0.4,xception,0.7777777777777778,0.13393959390267995,0.8244348244348244,0.08562889393544457,0.9270833333333334,0.006014065304058548,-0.1805555555555555,0.10485881160098261,-0.13445406445406444,0.05958746228555525,-0.0474537037037036,0.020929561712992113
jpeg,1,none,quality,80.0,efficientnet_b0,0.7777777777777777,0.024056261216234387,0.7481711525189786,0.04298264963225666,0.8842592592592592,0.010607814108694024,-0.09722222222222221,0.024056261216234425,-0.11996674822761773,0.013288968656874445,-0.06481481481481483,0.02004688434686199
jpeg,1,none,quality,80.0,resnet50,0.8611111111111112,0.048112522432468774,0.844949494949495,0.06277068716711559,0.9629629629629629,0.004009376869372379,-0.0833333333333333,0.04166666666666665,-0.09808080808080799,0.050157084130363454,-0.027777777777777696,0.012028130608117214
jpeg,1,none,quality,80.0,xception,0.8194444444444445,0.06364688465216439,0.7917748917748918,0.08183192353507728,0.9467592592592594,0.02232326565044678,-0.13888888888888887,0.024056261216234377,-0.16711399711399708,0.0429170147477334,-0.02777777777777767,0.0069444444444445004
jpeg,2,none,quality,50.0,efficientnet_b0,0.625,0.04166666666666663,0.4856237816764133,0.09691210855421369,0.7685185185185185,0.01060781410869411,-0.24999999999999997,0.04166666666666666,-0.38251411907018307,0.0649416859742631,-0.18055555555555558,0.01388888888888884
jpeg,2,none,quality,50.0,resnet50,0.6388888888888888,0.048112522432468774,0.5,0.05555555555555558,0.8217592592592592,0.04464653130089329,-0.3055555555555556,0.06364688465216445,-0.44303030303030294,0.06285166345305788,-0.1689814814814814,0.052121899301841225
jpeg,2,none,quality,50.0,xception,0.6388888888888888,0.048112522432468774,0.47685185185185186,0.09247677942332491,0.875,0.025038550524055337,-0.3194444444444444,0.02405626121623435,-0.48203703703703704,0.07035258059735848,-0.09953703703703703,0.004009376869372351
jpeg,3,none,quality,20.0,efficientnet_b0,0.5972222222222222,0.024056261216234432,0.4296296296296296,0.025660011963983338,0.6666666666666666,0.020833333333333273,-0.27777777777777773,0.04811252243246874,-0.4385082711169668,0.05610897235902831,-0.28240740740740744,0.02438808739086281
jpeg,3,none,quality,20.0,resnet50,0.5,0.0,0.0,0.0,0.7337962962962963,0.031314234394603443,-0.4444444444444444,0.024056261216234456,-0.943030303030303,0.029392377340562683,-0.25694444444444436,0.020833333333333343
jpeg,3,none,quality,20.0,xception,0.5277777777777778,0.04811252243246882,0.09523809523809523,0.1649572197684645,0.7523148148148148,0.06851226197661456,-0.4305555555555555,0.06364688465216446,-0.8636507936507937,0.16920538133675955,-0.22222222222222218,0.061723572342469425
resize,1,none,scale,0.75,efficientnet_b0,0.875,0.0,0.8829629629629631,0.0051320023927966425,0.9421296296296297,0.040093768693724066,0.0,0.0416666666666666,0.014825062216366534,0.04495903591332165,-0.0069444444444445004,0.02083333333333335
resize,1,none,scale,0.75,resnet50,0.861111111111111,0.06364688465216446,0.877713920817369,0.04557951307071393,0.9537037037037037,0.016037507477489756,-0.08333333333333333,0.08333333333333336,-0.06531638221293394,0.07017444504300695,-0.03703703703703693,0.010607814108694096
resize,1,none,scale,0.75,xception,0.9027777777777778,0.06364688465216443,0.9097435897435897,0.05808244157853443,0.9722222222222222,0.024056261216234432,-0.055555555555555504,0.024056261216234342,-0.04914529914529906,0.018568658835493107,-0.0023148148148148,0.0040093768693723756
resize,2,none,scale,0.5,efficientnet_b0,0.8611111111111112,0.024056261216234394,0.8716809116809117,0.022549421106473563,0.9236111111111112,0.020833333333333176,-0.013888888888888867,0.02405626121623437,0.0035430109343152654,0.028506711453517533,-0.025462962962962837,0.004009376869372404
resize,2,none,scale,0.5,resnet50,0.861111111111111,0.06364688465216446,0.877713920817369,0.04557951307071393,0.951388888888889,0.018373272993504226,-0.08333333333333333,0.08333333333333336,-0.06531638221293394,0.07017444504300695,-0.039351851851851735,0.014456013885181465
resize,2,none,scale,0.5,xception,0.875,0.04166666666666663,0.8897028897028898,0.03297456915023062,0.9652777777777778,0.03027013155236577,-0.0833333333333333,0.04166666666666665,-0.06918599918599914,0.038026103349834965,-0.0092592592592592,0.008018753738744751
resize,3,none,scale,0.25,efficientnet_b0,0.7222222222222222,0.06364688465216443,0.7358024691358024,0.06680370004182072,0.8425925925925926,0.055700043590351675,-0.15277777777777776,0.06364688465216442,-0.1323354316107939,0.05571396882025099,-0.10648148148148147,0.03131423439460343
resize,3,none,scale,0.25,resnet50,0.861111111111111,0.06364688465216446,0.8734567901234568,0.05265037688034562,0.9305555555555557,0.018373272993503973,-0.08333333333333333,0.08333333333333336,-0.06957351290684627,0.07639207789084757,-0.060185185185185064,0.02121562821738806
resize,3,none,scale,0.25,xception,0.8472222222222222,0.048112522432468864,0.8547933440687063,0.03501332993305385,0.9120370370370371,0.021215628217388174,-0.1111111111111111,0.024056261216234425,-0.10409554482018246,0.014909766545820708,-0.062499999999999965,0.01837327299350421
