model,transformation,localization_metric,faithfulness_method,n,rho,p_raw,p_bh
efficientnet_b0,brightening_sev2,IoU,blur,12,-0.4685314685314686,0.12445479118883407,0.16179122854548428
efficientnet_b0,brightening_sev2,saliency_mass,blur,12,-0.5174825174825175,0.08486877113393476,0.12987539688158992
efficientnet_b0,brightening_sev3,SO,blur,12,-0.2937062937062937,0.3541476412329215,0.3836599446689983
efficientnet_b0,brightening_sev3,IoU,blur,12,-0.16083916083916086,0.6175234895401425,0.6646331617926677
efficientnet_b0,brightening_sev3,saliency_mass,blur,12,-0.41958041958041964,0.1745190081300594,0.22687471056907724
efficientnet_b0,clean,SO,blur,12,-0.6970238359966545,0.011760970883598036,0.06757955465976832
efficientnet_b0,clean,IoU,blur,12,-0.5849396010625192,0.04573907441011205,0.10088743911251548
efficientnet_b0,clean,saliency_mass,blur,12,-0.6584948802380455,0.019892133524913678,0.10401382853642581
efficientnet_b0,darkening_sev1,SO,blur,12,-0.6024527627709778,0.03815947554942024,0.08267886369041051
efficientnet_b0,darkening_sev1,IoU,blur,12,-0.5394053806205267,0.0703055633516462,0.10155248039682228
efficientnet_b0,darkening_sev1,saliency_mass,blur,12,-0.6619975125797373,0.019019455833880428,0.10401382853642581
efficientnet_b0,darkening_sev2,SO,blur,12,-0.6164632921377448,0.03277603808376062,0.08267886369041051
efficientnet_b0,darkening_sev2,IoU,blur,12,-0.54641064530391,0.06604060406823516,0.10155248039682228
efficientnet_b0,darkening_sev2,saliency_mass,blur,12,-0.6094580274543612,0.035394645466878934,0.11503259776735654
efficientnet_b0,darkening_sev3,SO,blur,12,-0.6643356643356644,0.01845271802844544,0.06757955465976832
efficientnet_b0,darkening_sev3,IoU,blur,12,-0.6503496503496504,0.022034190932365316,0.10088743911251548
efficientnet_b0,darkening_sev3,saliency_mass,blur,12,-0.5314685314685316,0.07536233505348361,0.12987539688158992
efficientnet_b0,jpeg_sev1,SO,blur,12,-0.5604211746706771,0.05805354965814072,0.08385512728398103
efficientnet_b0,jpeg_sev1,IoU,blur,12,-0.5674264393540605,0.05432400567596987,0.10088743911251548
efficientnet_b0,jpeg_sev1,saliency_mass,blur,12,-0.5394053806205267,0.0703055633516462,0.12987539688158992
efficientnet_b0,jpeg_sev2,SO,blur,12,0.1958041958041958,0.5419358857313173,0.5419358857313173
efficientnet_b0,jpeg_sev2,IoU,blur,12,0.1398601398601399,0.6646331617926677,0.6646331617926677
efficientnet_b0,jpeg_sev2,saliency_mass,blur,12,0.16783216783216784,0.6020994277865379,0.6020994277865379
efficientnet_b0,jpeg_sev3,SO,blur,12,0.5674264393540605,0.05432400567596987,0.08385512728398103
efficientnet_b0,jpeg_sev3,IoU,blur,12,0.574431704037444,0.05076533466057095,0.10088743911251548
efficientnet_b0,jpeg_sev3,saliency_mass,blur,12,0.5104895104895105,0.08991373630263919,0.12987539688158992
efficientnet_b0,resize_sev1,SO,blur,12,-0.6549922478963537,0.02079370912608256,0.06757955465976832
