model,transformation,metric,n,mean,median,ci95_lower,ci95_upper,below_0_8_prop,below_0_9_prop
resnet50,brightening_sev3,explanation_IoU,12,0.6255320214280612,0.6899686698866607,0.4747758785211427,0.7590474517462938,0.6666666666666666,1.0
resnet50,darkening_sev1,ES_cos,12,0.9329052945034118,0.978259478064849,0.8828960682899455,0.9727705054984038,0.08333333333333333,0.25
resnet50,darkening_sev1,explanation_IoU,12,0.8129896639269597,0.851106133901998,0.7426105189016107,0.872520299769893,0.3333333333333333,0.6666666666666666
resnet50,darkening_sev2,ES_cos,12,0.7972098792471018,0.8927017143649043,0.6750933317298313,0.9035110585593814,0.3333333333333333,0.5
resnet50,darkening_sev2,explanation_IoU,12,0.6444244017480439,0.73936565409854,0.5158088423808849,0.7625583733824949,0.6666666666666666,1.0
resnet50,darkening_sev3,ES_cos,12,0.6003163819242566,0.7405433028644832,0.43503426778926063,0.7542468883619445,0.6666666666666666,0.8333333333333334
resnet50,darkening_sev3,explanation_IoU,12,0.44330398827755874,0.5417378185586499,0.2983514534667969,0.5862386503962065,0.9166666666666666,1.0
resnet50,jpeg_sev1,ES_cos,12,0.9219371955973922,0.9770639726784878,0.8527307087401992,0.9737250077854587,0.08333333333333333,0.25
resnet50,jpeg_sev1,explanation_IoU,12,0.8161802872101394,0.8774010504096605,0.72653114967802,0.8890306362023837,0.3333333333333333,0.5833333333333334
resnet50,jpeg_sev2,ES_cos,12,0.5736196203377999,0.5701282732774036,0.39029431241257795,0.7524658550005363,0.6666666666666666,0.75
resnet50,jpeg_sev2,explanation_IoU,12,0.45653409364853875,0.3932482270055885,0.28899428770116786,0.62736384943457,0.75,0.9166666666666666
resnet50,jpeg_sev3,ES_cos,12,0.16636119986539383,0.056222194407356735,0.051769421130871816,0.28915761664921374,1.0,1.0
resnet50,jpeg_sev3,explanation_IoU,12,0.09288105293004878,0.01750010232492565,0.018110888320497988,0.17354230006763308,1.0,1.0
resnet50,resize_sev1,ES_cos,12,0.971226147295944,0.9913826825992167,0.9390691498278982,0.9920320122588182,0.0,0.08333333333333333
resnet50,resize_sev1,explanation_IoU,12,0.8859584809750977,0.917880831125294,0.8283262707293817,0.9293903491887431,0.08333333333333333,0.3333333333333333
resnet50,resize_sev2,ES_cos,12,0.963656757470595,0.9843656210520793,0.9247165460071486,0.988604331046582,0.08333333333333333,0.08333333333333333
resnet50,resize_sev2,explanation_IoU,12,0.8647424389547522,0.8937469433492449,0.8013544144177508,0.9123771941627258,0.25,0.5833333333333334
resnet50,resize_sev3,ES_cos,12,0.8931163596240479,0.9689820894268364,0.8117411224190384,0.9612179159963544,0.25,0.3333333333333333
resnet50,resize_sev3,explanation_IoU,12,0.7532094214121935,0.8385857907873936,0.6492077336830433,0.8456249947549329,0.4166666666666667,0.8333333333333334
