n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
12.0,12,12.0,0.04598088259290489,0.024850668701691104,0.021130213891213792,0.046661818690327705,27.0,0.38037109375,0.3076923076923077,-0.05315667437120504,0.09220168143327612,tested,resnet50,123,darkening_sev2,faithfulness_blur,family_2_faithfulness,source_video,,0.42791748046875
12.0,12,12.0,0.6548642437097679,0.45312381929763107,0.20174042441213694,0.16158355176275913,3.0,0.00244140625,0.9230769230769231,0.10511813426756651,0.30292870740437206,tested,resnet50,123,darkening_sev2,faithfulness_zero,family_2_faithfulness,source_video,,0.00732421875
12.0,12,12.0,0.5330614808352593,0.3243661845998636,0.20869529623539562,0.2311060520514064,2.0,0.00146484375,0.9487179487179487,0.11367566400225296,0.3076744162504424,tested,resnet50,123,darkening_sev2,faithfulness_mean,family_2_faithfulness,source_video,,0.006591796875
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev2,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev2,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,darkening_sev2,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,darkening_sev2,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,darkening_sev2,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
,12,,,,,,,0.729194990751066,,,,tested,resnet50,123,darkening_sev2,IoU_vs_blur,family_4a_loc_faith,source_video,-0.11188811188811189,0.9827917689028476
,12,,,,,,,0.4844516614553987,,,,tested,resnet50,123,darkening_sev2,IoU_vs_zero,family_4a_loc_faith,source_video,0.22377622377622378,0.9827917689028476
,12,,,,,,,0.9827917689028476,,,,tested,resnet50,123,darkening_sev2,IoU_vs_mean,family_4a_loc_faith,source_video,0.006993006993006993,0.9827917689028476
,12,,,,,,,0.6330906812462617,,,,tested,resnet50,123,darkening_sev2,SM_vs_blur,family_4a_loc_faith,source_video,-0.15384615384615385,0.9827917689028476
,12,,,,,,,0.45680085263992326,,,,tested,resnet50,123,darkening_sev2,SM_vs_zero,family_4a_loc_faith,source_video,0.2377622377622378,0.9827917689028476
,12,,,,,,,0.8969858708195542,,,,tested,resnet50,123,darkening_sev2,SM_vs_mean,family_4a_loc_faith,source_video,0.04195804195804196,0.9827917689028476
,12,,,,,,,0.0019003677255282697,,,,tested,resnet50,123,darkening_sev2,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.7972027972027973,0.002682872083098734
,12,,,,,,,0.0022231354099909177,,,,tested,resnet50,123,darkening_sev2,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.7902097902097903,0.002964180546654557
,0,,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev2,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.25842921463769697,0.16705684694076509,0.09137236769693192,0.09986844794681096,1.0,0.0009765625,0.9743589743589743,0.05895197283585463,0.1280303564086712,tested,resnet50,123,darkening_sev3,SO,family_1_localization,source_video,,0.00703125
12.0,12,12.0,0.15568354182609964,0.09668637230303838,0.05899716952306125,0.06175242589421929,1.0,0.0009765625,0.9743589743589743,0.0373815238617068,0.08272515260945366,tested,resnet50,123,darkening_sev3,IoU,family_1_localization,source_video,,0.00703125
12.0,12,12.0,0.25823693564992867,0.16994245106929842,0.08829448458063027,0.09734891622155406,2.0,0.00146484375,0.9487179487179487,0.05711751220192834,0.12463604708017695,tested,resnet50,123,darkening_sev3,saliency_mass,family_1_localization,source_video,,0.00703125
12.0,12,12.0,0.3322296666895133,0.2165375349053594,0.11569213178415398,0.12745477860785384,3.0,0.00244140625,0.9230769230769231,0.07097958121673785,0.1639372085744896,tested,resnet50,123,darkening_sev3,hit_rate,family_1_localization,source_video,,0.00732421875
12.0,12,12.0,0.04598088259290489,0.013148519059292684,0.03283236353361221,0.10677329182835144,27.0,0.38037109375,0.3076923076923077,-0.07208265975716771,0.11482238612681421,tested,resnet50,123,darkening_sev3,faithfulness_blur,family_2_faithfulness,source_video,,0.42791748046875
12.0,12,12.0,0.6548642437097679,0.22016740632285212,0.43469683738691595,0.4364564467592338,0.0,0.00048828125,1.0,0.35183752796026607,0.5170957222992738,tested,resnet50,123,darkening_sev3,faithfulness_zero,family_2_faithfulness,source_video,,0.0029296875
12.0,12,12.0,0.5330614808352593,0.22838181820204176,0.3046796626332175,0.3684391964084897,0.0,0.00048828125,1.0,0.2032631769585572,0.3992852137485929,tested,resnet50,123,darkening_sev3,faithfulness_mean,family_2_faithfulness,source_video,,0.0029296875
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev3,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev3,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,darkening_sev3,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,darkening_sev3,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,darkening_sev3,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
,12,,,,,,,0.729194990751066,,,,tested,resnet50,123,darkening_sev3,IoU_vs_blur,family_4a_loc_faith,source_video,-0.11188811188811189,0.9827917689028476
,12,,,,,,,0.4844516614553987,,,,tested,resnet50,123,darkening_sev3,IoU_vs_zero,family_4a_loc_faith,source_video,0.22377622377622378,0.9827917689028476
,12,,,,,,,0.9827917689028476,,,,tested,resnet50,123,darkening_sev3,IoU_vs_mean,family_4a_loc_faith,source_video,0.006993006993006993,0.9827917689028476
,12,,,,,,,0.6330906812462617,,,,tested,resnet50,123,darkening_sev3,SM_vs_blur,family_4a_loc_faith,source_video,-0.15384615384615385,0.9827917689028476
,12,,,,,,,0.45680085263992326,,,,tested,resnet50,123,darkening_sev3,SM_vs_zero,family_4a_loc_faith,source_video,0.2377622377622378,0.9827917689028476
,12,,,,,,,0.8969858708195542,,,,tested,resnet50,123,darkening_sev3,SM_vs_mean,family_4a_loc_faith,source_video,0.04195804195804196,0.9827917689028476
,12,,,,,,,0.05126558978649151,,,,tested,resnet50,123,darkening_sev3,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.5734265734265735,0.05126558978649151
,12,,,,,,,0.03858845292201946,,,,tested,resnet50,123,darkening_sev3,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.6013986013986015,0.040266211744715966
,0,,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev3,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.25842921463769697,0.24201770075895238,0.01641151387874458,0.009420256446572572,2.0,0.00146484375,0.9487179487179487,0.008052140949118854,0.02680043185246114,tested,resnet50,123,jpeg_sev1,SO,family_1_localization,source_video,,0.00703125
12.0,12,12.0,0.15568354182609964,0.14423825946350752,0.011445282362592098,0.007044052116456284,2.0,0.00146484375,0.9487179487179487,0.005827690557527945,0.01822488463980032,tested,resnet50,123,jpeg_sev1,IoU,family_1_localization,source_video,,0.00703125
12.0,12,12.0,0.25823693564992867,0.244496592721021,0.013740342928907684,0.005730628736258542,2.0,0.00146484375,0.9487179487179487,0.005053739239008059,0.02581125181252932,tested,resnet50,123,jpeg_sev1,saliency_mass,family_1_localization,source_video,,0.00703125
12.0,12,10.0,0.3322296666895133,0.31636254197651464,0.01586712471299866,0.00913280035531866,11.0,0.10546875,0.6,0.0006791078478000005,0.03742037637795699,tested,resnet50,123,jpeg_sev1,hit_rate,family_1_localization,source_video,,0.18080357142857142
12.0,12,12.0,0.04598088259290489,0.0013846035102173249,0.044596279082687575,0.02485582377720932,3.0,0.00244140625,0.9230769230769231,0.01752435782449021,0.07585441792964502,tested,resnet50,123,jpeg_sev1,faithfulness_blur,family_2_faithfulness,source_video,,0.00732421875
12.0,12,12.0,0.6548642437097679,0.576089662106535,0.07877458160323299,0.03007261211762091,0.0,0.00048828125,1.0,0.030689442830467827,0.13852737997104753,tested,resnet50,123,jpeg_sev1,faithfulness_zero,family_2_faithfulness,source_video,,0.0029296875
12.0,12,12.0,0.5330614808352593,0.4744757161450279,0.058585764690231336,0.017934436745444815,8.0,0.01220703125,0.7948717948717948,0.015417572363591064,0.11626389479757682,tested,resnet50,123,jpeg_sev1,faithfulness_mean,family_2_faithfulness,source_video,,0.0274658203125
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,jpeg_sev1,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,jpeg_sev1,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,jpeg_sev1,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
,12,,,,,,,0.5717012385276553,,,,tested,resnet50,123,jpeg_sev1,SO_vs_zero,family_4a_loc_faith,source_video,0.18181818181818185,0.9827917689028476
,12,,,,,,,0.9484022252365222,,,,tested,resnet50,123,jpeg_sev1,SO_vs_mean,family_4a_loc_faith,source_video,-0.02097902097902098,0.9827917689028476
