n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,rho,adjusted_p
48.0,48,48.0,0.04523507636731117,0.01865527690226253,0.026579799465048626,0.06674786471310507,374.0,0.02812103947792827,0.36394557823129253,-0.011508111136502325,0.0651382691782609,tested,resnet50,123,darkening_sev2,faithfulness_blur,family_2_faithfulness,,0.03374524737351393
48.0,48,48.0,0.6445422700201063,0.4430575652519422,0.20148470476816405,0.16557967938327534,38.0,1.6722799715523686e-08,0.935374149659864,0.1521892961587621,0.25186667129680557,tested,resnet50,123,darkening_sev2,faithfulness_zero,family_2_faithfulness,,5.472916270535025e-08
48.0,48,48.0,0.5169412794817214,0.3108363168666735,0.20610496261504793,0.21608592669169108,26.0,8.117585867568758e-09,0.95578231292517,0.15923201047397667,0.2540109584279882,tested,resnet50,123,darkening_sev2,faithfulness_mean,family_2_faithfulness,,4.1747584461782184e-08
48.0,48,48.0,0.25842921463769697,0.16705684694076509,0.09137236769693192,0.0900362420091772,37.0,1.5898029794432582e-08,0.9370748299319728,0.07154548595873836,0.1126156766156763,tested,resnet50,123,darkening_sev3,SO,family_1_localization,,1.3621225629429885e-07
48.0,48,48.0,0.15568354182609964,0.09668637230303838,0.05899716952306124,0.05904356548855057,40.0,1.9006589991829e-08,0.9319727891156463,0.045715084048521704,0.0732676190079047,tested,resnet50,123,darkening_sev3,IoU,family_1_localization,,1.3621225629429885e-07
48.0,48,48.0,0.2582369356499287,0.16994245106929842,0.08829448458063027,0.07133630158341567,49.0,3.229879399278093e-08,0.9166666666666666,0.06895392291844725,0.10930804184642336,tested,resnet50,123,darkening_sev3,saliency_mass,family_1_localization,,1.4941684626888528e-07
48.0,48,44.0,0.3322296666895133,0.2165375349053594,0.11569213178415394,0.1093326098752035,48.0,1.8199886356866332e-07,0.9030303030303031,0.08567328151882316,0.14822422240415042,tested,resnet50,123,darkening_sev3,hit_rate,family_1_localization,,5.4599659070599e-07
48.0,48,48.0,0.04523507636731117,0.0062000827669309935,0.03903499360038017,0.10760705245985201,391.0,0.04326140913057901,0.33503401360544216,-0.009566943201193225,0.0822776552358924,tested,resnet50,123,darkening_sev3,faithfulness_blur,family_2_faithfulness,,0.050239055764543364
48.0,48,48.0,0.6445422700201063,0.21439642495422387,0.43014584506588244,0.4303603240171078,0.0,1.6118998700367804e-09,1.0,0.38902468958333103,0.47101345819494495,tested,resnet50,123,darkening_sev3,faithfulness_zero,family_2_faithfulness,,1.5457579040334303e-08
48.0,48,48.0,0.5169412794817214,0.22109548806084445,0.29584579142087697,0.32663568403375776,1.0,1.717508782259367e-09,0.9982993197278912,0.2483143103159362,0.3436818797987682,tested,resnet50,123,darkening_sev3,faithfulness_mean,family_2_faithfulness,,1.5457579040334303e-08
48.0,48,48.0,0.25842921463769697,0.24201770075895243,0.016411513878744587,0.007750059554241739,49.0,3.229879399278093e-08,0.9166666666666666,0.01058920056321678,0.02284891526647572,tested,resnet50,123,jpeg_sev1,SO,family_1_localization,,1.4941684626888528e-07
48.0,48,48.0,0.15568354182609964,0.14423825946350752,0.011445282362592105,0.006189169631556052,50.0,3.424136060328621e-08,0.9149659863945578,0.007568903508676024,0.015810453826918786,tested,resnet50,123,jpeg_sev1,IoU,family_1_localization,,1.4941684626888528e-07
