transformation,severity,direction,parameter_name,parameter_value,model,seed,overall_mean_delta_p,overall_median_delta_p,overall_mean_abs_delta_p,real_mean_delta_p,real_median_delta_p,fake_mean_delta_p,fake_median_delta_p
brightness_dark,1,darker,factor,0.8,resnet50,2024,-0.007071740111381353,-0.00022778424799439994,0.039085676874065105,0.020294358505110705,-4.2321154900845314e-05,-0.03443783872787341,-0.012299367387421323
brightness_dark,1,darker,factor,0.8,xception,42,0.040583044895320226,0.031069076628546105,0.040658815503570145,0.03410700386768234,0.0167133206986864,0.04705908592295813,0.03362976716373833
brightness_dark,1,darker,factor,0.8,xception,123,0.00466231687249719,0.00013360556708143763,0.013280402172562466,0.013959120006697363,0.005289503738638551,-0.004634486261702986,-0.0006401599159781002
brightness_dark,1,darker,factor,0.8,xception,2024,0.02707886501231113,0.007244579215992062,0.02803095199308118,0.046481245852056347,0.0105466989400385,0.007676484172565908,0.003836521467323939
brightness_dark,2,darker,factor,0.6,efficientnet_b0,42,0.14265749000938002,0.03166102091304829,0.14328452755120988,0.18640653684424838,0.16557656802419154,0.09890844317451168,0.026260045651690822
brightness_dark,2,darker,factor,0.6,efficientnet_b0,123,0.049034815570019374,0.012557946360254042,0.059936150977653035,0.04307111043281744,0.023862733918365,0.054998520707221325,0.005708935533114856
brightness_dark,2,darker,factor,0.6,efficientnet_b0,2024,0.05109853239099799,0.0049668154259482795,0.0779768939348388,0.09755107665530793,0.0561662184537699,0.004645988126688048,0.002304555811848241
brightness_dark,2,darker,factor,0.6,resnet50,42,0.05127811280715411,0.03291883552310809,0.1155933731225418,0.12326519098168315,0.0796012637299773,-0.02070896536737495,0.0033599854336114343
brightness_dark,2,darker,factor,0.6,resnet50,123,-0.14002876027568156,-0.055199788692075716,0.16741236786406585,-0.0388251832745751,-0.0040652793190476995,-0.24123233727678806,-0.16765636542569334
brightness_dark,2,darker,factor,0.6,resnet50,2024,-0.02932689748895791,-0.0009759993402320998,0.10714596214501353,0.06391175387610518,0.003018313781741499,-0.12256554885402099,-0.06689157899082215
brightness_dark,2,darker,factor,0.6,xception,42,0.1415680298986529,0.07621880317383442,0.1415680298986529,0.1631522059867513,0.08930287430323444,0.11998385381055449,0.06233155750577429
