transformation,severity,direction,parameter_name,parameter_value,seed,model_a,model_b,model_pair,fail_a_count,fail_b_count,intersection,union,jaccard_overlap
jpeg,3,none,quality,20.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,6,10,5,11,0.45454545454545453
jpeg,3,none,quality,20.0,123,resnet50,xception,resnet50_vs_xception,12,10,10,12,0.8333333333333334
jpeg,3,none,quality,20.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,8,10,6,12,0.5
jpeg,3,none,quality,20.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,8,12,7,13,0.5384615384615384
jpeg,3,none,quality,20.0,2024,resnet50,xception,resnet50_vs_xception,10,12,10,12,0.8333333333333334
resize,1,none,scale,0.75,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,2,1,2,0.5
resize,1,none,scale,0.75,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,2,1,2,0.5
resize,1,none,scale,0.75,42,resnet50,xception,resnet50_vs_xception,2,2,2,2,1.0
resize,1,none,scale,0.75,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,4,1,4,0.25
resize,1,none,scale,0.75,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,1,1,1,1.0
resize,1,none,scale,0.75,123,resnet50,xception,resnet50_vs_xception,4,1,1,4,0.25
resize,1,none,scale,0.75,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,1,1,2,0.5
resize,1,none,scale,0.75,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,1,1,2,0.5
resize,1,none,scale,0.75,2024,resnet50,xception,resnet50_vs_xception,1,1,1,1,1.0
resize,2,none,scale,0.5,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,1,2,1,2,0.5
resize,2,none,scale,0.5,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,1,3,1,3,0.3333333333333333
resize,2,none,scale,0.5,42,resnet50,xception,resnet50_vs_xception,2,3,1,4,0.25
resize,2,none,scale,0.5,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,4,1,5,0.2
resize,2,none,scale,0.5,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,1,1,2,0.5
resize,2,none,scale,0.5,123,resnet50,xception,resnet50_vs_xception,4,1,1,4,0.25
resize,2,none,scale,0.5,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,1,1,2,0.5
resize,2,none,scale,0.5,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,3,1,4,0.25
resize,2,none,scale,0.5,2024,resnet50,xception,resnet50_vs_xception,1,3,1,3,0.3333333333333333
resize,3,none,scale,0.25,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,2,2,2,2,1.0
resize,3,none,scale,0.25,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,2,3,1,4,0.25
resize,3,none,scale,0.25,42,resnet50,xception,resnet50_vs_xception,2,3,1,4,0.25
resize,3,none,scale,0.25,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,4,4,2,6,0.3333333333333333
resize,3,none,scale,0.25,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,4,2,0,6,0.0
resize,3,none,scale,0.25,123,resnet50,xception,resnet50_vs_xception,4,2,1,5,0.2
resize,3,none,scale,0.25,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,5,1,1,5,0.2
resize,3,none,scale,0.25,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,5,3,0,8,0.0
resize,3,none,scale,0.25,2024,resnet50,xception,resnet50_vs_xception,1,3,0,4,0.0
