transformation,severity,direction,parameter_name,parameter_value,seed,model_a,model_b,model_pair,paired_videos,disagreement_count,disagreement_rate
jpeg,1,none,quality,80.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
jpeg,1,none,quality,80.0,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,1,none,quality,80.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
jpeg,1,none,quality,80.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
jpeg,1,none,quality,80.0,2024,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
jpeg,2,none,quality,50.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,42,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,2,none,quality,50.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
jpeg,2,none,quality,50.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
jpeg,2,none,quality,50.0,2024,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,3,none,quality,20.0,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
jpeg,3,none,quality,20.0,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
jpeg,3,none,quality,20.0,42,resnet50,xception,resnet50_vs_xception,24,0,0.0
jpeg,3,none,quality,20.0,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,6,0.25
jpeg,3,none,quality,20.0,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
jpeg,3,none,quality,20.0,123,resnet50,xception,resnet50_vs_xception,24,2,0.08333333333333333
jpeg,3,none,quality,20.0,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,6,0.25
jpeg,3,none,quality,20.0,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,6,0.25
jpeg,3,none,quality,20.0,2024,resnet50,xception,resnet50_vs_xception,24,0,0.0
resize,1,none,scale,0.75,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
resize,1,none,scale,0.75,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,1,0.041666666666666664
resize,1,none,scale,0.75,42,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
resize,1,none,scale,0.75,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,4,0.16666666666666666
resize,1,none,scale,0.75,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,1,0.041666666666666664
resize,1,none,scale,0.75,123,resnet50,xception,resnet50_vs_xception,24,3,0.125
resize,1,none,scale,0.75,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
resize,1,none,scale,0.75,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
resize,1,none,scale,0.75,2024,resnet50,xception,resnet50_vs_xception,24,1,0.041666666666666664
resize,2,none,scale,0.5,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
resize,2,none,scale,0.5,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,3,0.125
resize,2,none,scale,0.5,42,resnet50,xception,resnet50_vs_xception,24,3,0.125
resize,2,none,scale,0.5,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,5,0.20833333333333334
resize,2,none,scale,0.5,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
resize,2,none,scale,0.5,123,resnet50,xception,resnet50_vs_xception,24,3,0.125
resize,2,none,scale,0.5,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,3,0.125
resize,2,none,scale,0.5,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,2,0.08333333333333333
resize,2,none,scale,0.5,2024,resnet50,xception,resnet50_vs_xception,24,3,0.125
resize,3,none,scale,0.25,42,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,2,0.08333333333333333
resize,3,none,scale,0.25,42,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,4,0.16666666666666666
resize,3,none,scale,0.25,42,resnet50,xception,resnet50_vs_xception,24,4,0.16666666666666666
resize,3,none,scale,0.25,123,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,5,0.20833333333333334
resize,3,none,scale,0.25,123,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,5,0.20833333333333334
resize,3,none,scale,0.25,123,resnet50,xception,resnet50_vs_xception,24,4,0.16666666666666666
resize,3,none,scale,0.25,2024,efficientnet_b0,resnet50,efficientnet_b0_vs_resnet50,24,5,0.20833333333333334
resize,3,none,scale,0.25,2024,efficientnet_b0,xception,efficientnet_b0_vs_xception,24,6,0.25
resize,3,none,scale,0.25,2024,resnet50,xception,resnet50_vs_xception,24,3,0.125
